id,alpha,theta,sigma,eta,n_origins,pearson_correlation,covariance_population,epsilon_weighted,epsilon_origin_mean,epsilon_composition_gap,omega_max,epsilon_origin_sd,amenity,productivity,employment,wage,markdown
163592047,0.8,1.42,0.12,0.4,128,-0.9910135058772881,-9.183122980753114e-5,11.821237990948514,11.83299238836388,-0.011754397415366213,0.5063376899184299,0.0019345141565849382,-1.6899868451765991,1.049301453745595,2.2497883788317622e-6,1.9870912454815348,1.084593508798799
163592661,0.8,1.42,0.12,0.4,128,-0.8780416727206496,-0.0005526567628280485,11.732989465138512,11.803729530780501,-0.07074006564198854,0.07941838479405568,0.05353833569990637,0.22795339459618205,1.0939191322740003,0.00016873412841601543,0.8730433379902608,1.0852297705517624
163593461,0.8,1.42,0.12,0.4,128,-0.9898241290235619,-0.0003195153696334503,11.790598763422837,11.831496730735914,-0.04089796731307693,0.3076671923788331,0.008786122328812644,-0.5931378590589406,0.6215625957511364,8.999153514927193e-6,0.8918717230768294,1.0848133347648323
163594309,0.8,1.42,0.12,0.4,128,-0.9749874639912293,-0.001443007507806305,11.6423423411057,11.827047302104907,-0.1847049609992073,0.5669828519180898,0.02929323500382515,-0.40829573401302227,0.7840228760938434,4.8370450144188e-5,0.8028573694008914,1.0858933684220307
163595344,0.8,1.42,0.12,0.4,128,-0.8980862516611957,-0.0006085797907039325,11.744454967566105,11.82235318077621,-0.07789821321010493,0.1737309285547243,0.0314761663371278,-0.021633768607141,1.0687818206196318,0.00011586410150276653,0.9196524846968663,1.0851465651459888
163598908,0.8,1.42,0.12,0.4,128,-0.9852454962203943,-3.1521339292155995e-5,11.829132037118784,11.833166768548182,-0.004034731429397809,0.4221563678310482,0.0007909483751234754,0.05523631116172797,0.17082247623080524,1.124894189397774e-6,0.3716132179486789,1.08453705621529
163604239,0.8,1.42,0.12,0.4,128,-0.8326037223702267,-0.001762565069000813,11.593746078029561,11.819354406861667,-0.2256083288321058,0.3884131210563258,0.05497743013186668,-0.7519496728375118,2.2887778288649767,0.00011023963055859294,1.9870912454815348,1.0862533984503098
163604423,0.8,1.42,0.12,0.4,128,-0.9884751621668328,-0.004454634365935002,11.235461141115755,11.805654339955435,-0.5701931988396804,0.2980859288956102,0.1279245027177626,-0.8011913284479576,0.9681530310359701,8.774174677668448e-5,0.8775789233587101,1.0890039124732083
163607085,0.8,1.42,0.12,0.4,128,-0.9942144301141322,-0.0021335065606385233,11.547704406907204,11.82079324666894,-0.27308883976173526,0.42335954528948894,0.054978248747073334,-0.6226150391302938,1.3822579213767614,8.324217001291869e-5,1.2690088714850292,1.0865972980224412
163608096,0.8,1.42,0.12,0.4,128,-0.9841426650708737,-0.007107688025998124,10.895507562228785,11.805291629556542,-0.9097840673277577,0.4905967743911507,0.14636346567854813,0.1709401189043254,0.621251088087664,0.00022104170820987445,0.46692773998322473,1.0917809468066157
163608723,0.8,1.42,0.12,0.4,128,-0.9981681762739392,-0.0006114333334524835,11.752830704526088,11.831094171208008,-0.07826346668191952,0.5210191548690482,0.013051192279610569,-1.0850371247313497,1.2768483665826649,1.687341284127229e-5,1.6152788062514833,1.085085884851119
163611420,0.8,1.42,0.12,0.4,128,-0.9997935506281149,-0.0008165286571436611,11.727741144448268,11.832256812562656,-0.10451566811438795,0.8757529157571347,0.010597088334144597,-0.8632540545135039,0.618584391922477,8.999153514894271e-6,0.887226557852471,1.085267912011631
163615667,0.8,1.42,0.12,0.4,128,-0.9525567988515223,-0.03602371568959235,6.609906119065485,11.220941727333306,-4.611035608267821,0.16667764321169234,1.6784879962561523,-0.8156052718389395,5.075886367863785,0.004421959058529683,1.9870912454815348,1.1512880791325644
163617398,0.8,1.42,0.12,0.4,128,-0.9999470708434733,-6.498424458540885e-5,11.824932864111904,11.833250847418837,-0.008317983306932675,0.8998768876963422,0.000822501171916152,0.4126886328013866,0.17082720461420958,1.124894189348263e-6,0.3716132179486789,1.0845670763201498
163618710,0.8,1.42,0.12,0.4,128,-0.9991773767354318,-0.0012259692622313535,11.67364133438619,11.830565399951796,-0.15692406556560634,0.6643626821752615,0.0208527360270585,0.22329553528639182,0.260000190504666,1.349873027283185e-5,0.343742226602528,1.0856630738734772
163619107,0.8,1.42,0.12,0.4,128,-0.9996613394730098,-0.03248270112805911,7.628671218682324,11.786456963073894,-4.15778574439157,0.8326679373595948,0.44428441417383335,-1.3522395867905677,0.9951321137142536,7.705525197495471e-5,0.8913292106466042,1.1310844275935026
163621493,0.8,1.42,0.12,0.4,128,-0.7039062702009337,-0.008856488221859166,10.439331006429596,11.57296149882757,-1.133630492397975,0.25707077143274953,0.5004118216665938,-0.051436143182144275,3.2288695828813387,0.0018341399758469424,1.5836124960408382,1.095791578922452
163621733,0.8,1.42,0.12,0.4,128,-0.8101590067080608,-0.0019776564671695933,11.518575997929036,11.771716025726747,-0.25314002779771094,0.09028194550394933,0.13885355665422108,-0.15744806072929168,2.1262948450647348,0.0003627783760881501,1.4539582626214873,1.086816287028865
163631368,0.8,1.42,0.12,0.4,128,-0.7313447850157955,-0.000229193047349262,11.799326940443247,11.828663650503952,-0.029336710060704263,0.19759395115047362,0.012829858811899207,-0.0745816997240287,0.6986849948697192,3.149703730322237e-5,0.7803877576922257,1.0847505967965352
163633865,0.8,1.42,0.12,0.4,128,-0.9867077988998895,-0.001811702177697136,11.5972236535255,11.829121532270733,-0.23189787874523304,0.8289869259353432,0.025255275132929484,-0.5230262515733358,1.1451798074816826,6.693120426653573e-5,1.0986010674497697,1.0862275342681698
163637831,0.8,1.42,0.12,0.4,128,-1.0,-0.005904448492844473,11.07161298603598,11.827382393120072,-0.7557694070840917,0.9999999999999986,0.06732720286771639,-0.961189616374869,0.41886517727394196,0.00011248941894289913,0.36083643604575916,1.090321076184766
16363880x,0.8,1.42,0.12,0.4,128,-0.9995472335701484,-0.008520505415069029,10.731687003064215,11.822311696193049,-1.0906246931288344,0.8403955534741453,0.11567185812890678,-0.16197580704909234,0.6236661857730672,3.4871719871526205e-5,0.6772950859566295,1.09318199456567
163639909,0.8,1.42,0.12,0.4,128,-0.9999988101491045,-0.001608156870525434,11.625827946214933,11.831672025642193,-0.20584407942726024,0.9863625199906143,0.018592988659457688,1.0729033150915597,0.5055907337615582,3.1497037304016443e-5,0.5640557873691872,1.0860153792595542
